trade_id,symbol,side,quantity,entry_price,exit_price,entry_time,exit_time,pnl,duration_hours,entry_day_of_week,entry_hour
CE63V9TM,MSTR,BTO,1.0,8.0,19.225,2025-03-04 17:47:19.813000+00:00,2025-03-04 20:13:06.511000+00:00,11.225,2.429638333333333,2.0,17.0
C4PHVIVT,MSTR,BTO,1.0,5.0,6.95,2025-03-05 14:42:18+00:00,2025-03-07 20:59:49.151000+00:00,1.95,54.29198638888889,3.0,14.0
SQOVPQ4X,NVDA,BTO,1.0,2.32,0.0,2025-03-05 16:15:25.629000+00:00,2025-03-10 13:17:37.692000+00:00,-2.32,117.03668416666666,3.0,16.0
XMM1KL3Z,SOXL,BTO,1.0,0.59,0.7,2025-03-06 18:46:52.977000+00:00,2025-03-07 20:47:14.146000+00:00,0.11,26.005880277777777,4.0,18.0
L3CK15HZ,QQQ,BTO,1.0,2.46,3.4,2025-03-07 15:42:20.608000+00:00,2025-03-07 15:50:46.412000+00:00,0.94,0.1405011111111111,5.0,15.0
C1QVD1LK,SPY,BTO,1.0,1.5,0.0,2025-03-10 14:03:22.635000+00:00,2025-03-26 15:18:04.182000+00:00,-2.45,385.24487416666665,1.0,14.0
B5HR824Y,SPY,BTO,1.0,0.84,0.2,2025-03-10 14:09:48.413000+00:00,2025-03-10 19:57:51.061000+00:00,-1.13,5.800735555555556,1.0,14.0
GR9ARNZ3,NVDA,BTO,1.0,2.72,3.1625,2025-03-10 16:42:09.379000+00:00,2025-03-11 14:12:36.484000+00:00,0.4425,21.507529166666668,1.0,16.0
NYG5UT9P,SPY,BTO,1.0,1.87,2.7075,2025-03-11 14:04:39.284000+00:00,2025-03-11 14:11:08.407000+00:00,0.837499999999999,0.10808972222222223,2.0,14.0
ZJYZ9IHN,SPY,BTO,1.0,0.3,0.58,2025-03-11 18:41:30.335000+00:00,2025-03-26 15:17:59.196000+00:00,0.28,356.60801694444444,2.0,18.0
YCL5QFCN,SPXW,BTO,1.0,12.3,0.0,2025-03-12 13:32:01.696000+00:00,2025-03-26 15:17:53.980000+00:00,-12.3,337.76452333333333,3.0,13.0
ONVE3VB7,MSTR,BTO,1.0,0.9,0.33,2025-03-12 13:35:15.888000+00:00,2025-03-12 19:41:11.135000+00:00,-0.87,6.098679722222222,3.0,13.0
U81LV801,MSTR,BTO,1.0,0.96,0.0,2025-03-12 13:37:06.399000+00:00,2025-03-26 15:17:34.847000+00:00,-0.96,337.67456888888887,3.0,13.0
R7I3DSZW,SPXW,BTO,1.0,18.7,42.3,2025-03-12 15:09:05.786000+00:00,2025-03-12 17:34:14.013000+00:00,23.6,2.4189519444444443,3.0,15.0
R0JH7UE9,SPY,BTO,1.0,1.55,0.25,2025-03-13 16:54:35.507000+00:00,2025-03-13 19:03:09.661000+00:00,-1.83,2.1428205555555557,4.0,16.0
CZK1TPGT,SPY,BTO,1.0,1.01,2.72,2025-03-13 19:02:57.867000+00:00,2025-03-13 19:59:35.292000+00:00,1.71,0.9437291666666666,4.0,19.0
LWMXPPYA,SOXL,BTO,1.0,0.25,0.0,2025-03-18 14:21:58.955000+00:00,2025-03-26 15:17:42.002000+00:00,-0.25,192.92862416666668,2.0,14.0
BB3QJE7M,QQQ,BTO,1.0,0.25,0.06,2025-03-18 14:22:42.654000+00:00,2025-03-18 17:07:13.751000+00:00,-0.19,2.741971388888889,2.0,14.0
DH71UAP0,COIN,BTO,1.0,0.88,0.85,2025-03-18 14:23:46.635000+00:00,2025-03-26 15:17:28.279000+00:00,-0.03,192.89490111111112,2.0,14.0
JE6MEZW3,NVDA,BTO,1.0,1.64,0.99,2025-03-18 14:50:21.038000+00:00,2025-03-20 17:29:15.651000+00:00,-0.65,50.64850361111111,2.0,14.0
L64HMARA,SPXW,BTO,1.0,3.2,0.6,2025-03-20 16:24:01.603000+00:00,2025-03-20 17:27:43.191000+00:00,-5.95,1.0615522222222222,4.0,16.0
V9ZHCEJZ,SPXW,BTO,1.0,0.2,0.35,2025-03-21 19:54:14.018000+00:00,2025-03-21 20:00:18.591000+00:00,0.15,0.10127027777777778,5.0,19.0
IHYRCRH6,UVXY,BTO,1.0,1.15,3.7345,2025-03-24 16:46:53.161000+00:00,2025-04-02 14:24:46.238000+00:00,5.609,213.63141027777777,1.0,16.0
NPM8A25W,SPY,BTO,1.0,1.78,4.965,2025-03-25 13:32:50.148000+00:00,2025-03-27 13:34:29.463000+00:00,3.185,48.0275875,2.0,13.0
SJ1LKJF8,NVDA,BTO,1.0,0.13,1.1432,2025-03-25 13:35:26.881000+00:00,2025-04-04 13:31:05.234000+00:00,1.0132,239.92732027777777,2.0,13.0
LGBB9L4V,QQQ,BTO,1.0,0.86,0.0,2025-03-25 14:17:21.635000+00:00,2025-03-26 15:18:12.690000+00:00,-1.05,25.014181944444445,2.0,14.0
GGG6W935,QQQ,BTO,1.0,0.98,2.98,2025-03-26 13:52:58.774000+00:00,2025-03-26 16:32:52.673000+00:00,2.0,2.6649719444444444,3.0,13.0
CTOU7MGQ,SPY,BTO,1.0,2.47,6.005,2025-03-27 14:43:19.840000+00:00,2025-03-28 13:59:23.286000+00:00,7.19,23.267623888888888,4.0,14.0
K8J6A3IT,IWM,BTO,1.0,2.45,2.0,2025-04-02 13:39:04.915000+00:00,2025-04-02 14:20:27.862000+00:00,-0.45,0.6897075,3.0,13.0
QR96FKJL,SPY,BTO,1.0,2.49,8.09,2025-04-03 13:53:39.092000+00:00,2025-04-04 13:31:35.683000+00:00,5.6,23.63238638888889,4.0,13.0
S0SXONLP,IWM,BTO,1.0,0.3,0.5575,2025-04-03 16:21:10.112000+00:00,2025-04-03 19:52:37.706000+00:00,0.2575,3.524331666666667,4.0,16.0
GE83B1S4,TQQQ,BTO,1.0,2.3,1.56,2025-04-04 14:37:28.134000+00:00,2025-04-04 19:54:08.893000+00:00,-0.74,5.277988611111111,5.0,14.0
DWBQ4LW9,FXI,BTO,1.0,1.0,0.84,2025-04-08 15:14:01.590000+00:00,2025-04-08 18:21:50.561000+00:00,-0.16,3.130269722222222,2.0,15.0
GJDUSXAN,SPXW,BTO,1.0,11.1,0.0,2025-04-08 15:16:09.247000+00:00,2025-04-22 20:39:43.326000+00:00,-11.1,341.3927997222222,2.0,15.0
EKCNHYEV,SOXL,BTO,1.0,0.22,0.66,2025-04-09 15:21:01.925000+00:00,2025-04-09 18:05:54.231000+00:00,0.44,2.7478627777777778,3.0,15.0
IK96WFV2,SOXL,BTO,1.0,0.47,0.158333333333333,2025-04-09 19:00:47.042000+00:00,2025-04-22 20:40:12.148000+00:00,-0.735,313.6569738888889,3.0,19.0
KM83Q44Q,TSLA,BTO,1.0,0.6,0.0,2025-04-09 19:07:09.878000+00:00,2025-04-22 20:40:38.238000+00:00,-0.6,313.5578777777778,3.0,19.0
PTG5TEEY,QQQ,BTO,1.0,1.67,1.0,2025-04-09 19:23:38.695000+00:00,2025-04-09 19:31:21.869000+00:00,-0.67,0.12865944444444444,3.0,19.0
O62I3M6M,SOXL,BTO,1.0,0.29,0.6125,2025-04-09 19:28:58.519000+00:00,2025-04-10 13:34:02+00:00,0.3225,18.08430027777778,3.0,19.0
QCKHOQOW,TQQQ,BTO,1.0,0.7,0.09,2025-04-11 17:31:16.438000+00:00,2025-04-11 19:07:14.554000+00:00,-0.79,1.5994766666666667,5.0,17.0
MKC9Y0YS,UVXY,BTO,1.0,41.16,40.25,2025-04-11 19:30:52.787000+00:00,2025-04-11 20:03:42.061000+00:00,-0.909999999999997,0.5470205555555555,5.0,19.0
G2CDNE7M,SOXL,BTO,1.0,0.37,0.0,2025-04-14 15:45:59.702000+00:00,2025-04-22 20:40:16.036000+00:00,-0.37,196.90453722222222,1.0,15.0
